text,source,region,label_source,confidence,match_score
Tui dân Tây Ninh nghen. Ad❤,youtube:2_ZjlAXyE18,southern,lexicon,medium,2
Còn tui ông ở ĐL. Ba tui vô SG năm 20t lập nghiệp mua đất xây nhà sinh tui ra tại SG sống ở SG mấy chục năm. Mà ngta lại bảo tui như người Hoa 😮😮,youtube:2_ZjlAXyE18,southern,lexicon,medium,4
"(NGUYỄN QUANG LẬP) 1/ Mãi tới ngày 30 tháng 4 năm 1975 tôi mới biết thế nào là ngày sinh nhật. Quê tôi người ta chỉ quan tâm tới ngày chết, ngày sinh nhật là cái gì rất phù phiếm. Ngày sinh của tôi ngủ yên trong học bạ, chỉ được nhắc đến mỗi kì chuyển cấp. Từ thuở bé con đến năm 19 tuổi chẳng có ai nhắc tôi ngày sinh nhật, tôi cũng chẳng quan tâm. Đúng ngày “non sông thu về một mối” tôi đang học Bách Khoa Hà Nội, cô giáo dạy toán xác suất đã cho hay đó cũng là ngày sinh nhật của tôi. Thật không ngờ. Tôi vui mừng đến độ muốn bay vào Sài Gòn ngay lập tức, để cùng Sài Gòn tận hưởng “Ngày trọng đại”. Kẹt nỗi tôi đang học, ba tôi không cho đi. Sau ngày 30 tháng 4 cả nhà tôi đều vào Sài Gòn, trừ tôi. Ông bác của tôi dinh tê vào Sài Gòn năm 1953, làm ba tôi luôn ghi vào lý lịch của ông và các con ông hai chữ “đã chết”, giờ đây là triệu phú số một Sài Gòn. Ba tôi quá mừng vì ông bác tôi còn sống, mừng hơn nữa là “triệu phú số một Sài Gòn”. Ông bác tôi cũng mừng ba tôi hãy còn sống, mừng hơn nữa là “gia đình bảy đảng viên cộng sản”. Cuộc đoàn tụ vàng ròng và nước mắt. Ông bác tôi nhận nước mắt đoàn viên bảy đảng viên cộng sản, ba tôi nhận hơn hai chục cây vàng đem ra Bắc trả hết nợ nần còn xây được ngôi nhà ngói ba gian hai chái. Sự đổi đời kì diệu. Dù chưa được vào Sài Gòn nhưng tôi đã thấy Sài Gòn qua ba vật phẩm lạ lùng, đó là bút bi, mì tôm và cassette của thằng Minh cùng lớp, ba nó là nhà thơ Viễn Phương ở Sài Gòn gửi ra cho nó. Chúng tôi xúm lại quanh thằng Minh xem nó thao tác viết bút bi, hồi đó gọi là bút nguyên tử. Nó bấm đít bút cái tách, đầu bút nhô ra, và nó viết. Nét mực đều tăm tắp, không cần chấm mực không cần bơm mực, cứ thế là viết. Chúng tôi ai nấy há hốc mồm không thể tin nổi Sài Gòn lại có thể sản xuất được cái bút tài tình thế kia. Tối hôm đó thằng Minh bóc gói mì tôm bỏ vào bát. Tưởng đó là lương khô chúng tôi không chú ý lắm. Khi thằng Minh đổ nước sôi vào bát, một mùi thơm rất lạ bốc lên, hết thảy chúng tôi đều nuốt nước bọt, đứa nào đứa nấy bỗng đói cồn cào. Thằng Minh túc tắc ăn, chúng tôi vừa nuốt nước bọt vừa cãi nhau. Không đứa nào tin Sài Gòn lại có thể sản xuất được đồ ăn cao cấp thế kia. Có đứa còn bảo đồ ăn đổ nước sôi vào là ăn được ngay, thơm ngon thế kia, chỉ giành cho các nhà du hành vũ trụ, người thường không bao giờ có. Thằng Minh khoe cái cassette ba nó gửi cho nó để nó học ngoại ngữ. Tới đây thì tôi bị sốc, không ngờ nhà nó giàu thế. Với tôi cassette là tài sản lớn, chỉ những người giàu mới có. Năm 1973 quê tôi lần đầu xuất hiện một cái cassette của một người du học Đông Đức trở về. Cả làng chạy đến xem máy ghi âm mà ai cũng đinh ninh đó là công cụ hoạt động tình báo, người thường không thể có. Suốt mấy ngày liền, dân làng tôi say sưa nói vào máy ghi âm rồi bật máy nghe tiếng của mình. Tôi cũng được nói vào máy ghi âm và thất vọng vô cùng không ngờ tiếng của tôi lại tệ đến thế. Một ngày tôi thấy tài sản lớn ấy trong tay một sinh viên, không còn tin vào mắt mình nữa. Thằng Minh nói, rẻ không à. Thứ này chỉ ghi âm, không có radio, giá hơn chục đồng thôi, bán đầy chợ Bến Thành. Không ai tin thằng Minh cả. Tôi bỉu môi nói với nó, cứt! Rứa Sài Gòn là tây à? Thằng Minh tủm tỉm cười không nói gì, nó mở cassette, lần đầu tiên chúng tôi được nghe nhạc Sài Gòn, tất cả chết lặng trước giọng ca của Khánh Ly trong Sơn ca 7. Kết thúc Sơn ca 7 thằng Hoan bỗng thở hắt một tiếng thật to và kêu lên, đúng là tây thật bay ơi! Sài Gòn là tây, điều đó hấp dẫn tôi đến nỗi đêm nào tôi cũng mơ tới Sài Gon. Kì nghỉ hè năm sau, tháng 8 năm 1976, tôi mới được vào Sài Gòn. Ba tôi vẫn bắt tôi không được đi đâu, “ở nhà học hành cho tử tế”, nhưng tôi đủ lớn để bác bỏ sự ngăn cấm của ông. Hơn nữa cô họ tôi rất yêu tôi, đã cho người ra Hà Nội đón tôi vào. Xe chạy ba ngày ba đêm tôi được gặp Sài Gòn. Tôi sẽ không kể những gì lần đầu tôi thấy trong biệt thự của ông bác tôi, từ máy điều hòa, tủ lạnh, ti vi tới xe máy, ô tô. Ngay mấy cục đá lạnh cần lúc nào có ngay lúc đó cũng đã làm tôi thán phục lắm rồi. Thán phục chứ không ngạc nhiên, vì đó là nhà của ông triệu phú. Xin kể những gì buổi sáng đầu tiên tôi thực sự gặp gỡ Sài Gòn... (con tiep)",youtube:6ErFOpVvcmM,central,lexicon,medium,3
"Trời ơi, làm cho tui nhớ dza diết Sg. Nhớ từng con đường , cái hẻm. Nhớ dì ba, dì tư bán quán, bán nước thấy tui đi qua là lên tiếng hỏi thăm liền.",youtube:6ErFOpVvcmM,southern,lexicon,medium,2
"Nhìn lại cảnh Saigon xưa tui nhớ là thời chị tui còn trẻ đẹp mặc áo dài eo ,đội nón lá mang guốc cao gót tóc uốn thành từng lọn rất đẹp chớ không như kiểu “cái bông cải “ như tui lúc đó chỉ 10 tuổi!",youtube:6ErFOpVvcmM,southern,lexicon,medium,3
"Tui nghe người bắc nói : ""Chúng mày...."" là máu trong người tui xông lên tới óc. Nghe mà tức cành hông, chất giọng gằn, nhấn mạnh như bôi tro trát trấu , chà sát ruột gan, chà đạp nhân phẩm con người.",youtube:6ErFOpVvcmM,southern,lexicon,medium,3
Xin cảm ơn Sài Gòn xưa đã gọi lại những kỷ niệm đẹp tuyệt vời những cách sống sinh hoạt thân thiện của dân Sài gòn .bây giờ là thành phố Hồ chí Minh mọi thứ đảo ngược con người thì gian xảo bip bợm ich kỷ đó là sản phẩm của chế độ cộng sản.tui(dân Sài Gòn chính hiệu) rời VN gần 40 năm nhưng tui không bao giờ nghĩ đến chuyến đi về VN.,youtube:6ErFOpVvcmM,southern,lexicon,medium,2
"Tui luôn giữ cái giọng Nam kỳ nè . Gốc gác cuả tui kể ra như sau : Ông bà Cố tui gốc Trà Vinh / Ngoại tui thì Trà Vinh rồi Biên Hoà , đó là bên Ngoại . Bên Nội thì xuất xứ từ Cái Răng , Cái Tắc rồi tới Cap tức là Vũng Tàu . Cho nên tui nói giọng Sài Gòn , không thích lai chút nào , tuy rất hiểu tiếng Bắc 54 , biết ít thổ ngữ Huế nữa ; nhưng khg dùng khi không cần thiết . Nghe Đạt Phi và Diệu Hiền đọc hay quá hà . Mong các em làm thêm nhiều video như vầy nữa nhen . Chị đang khóc vì nhớ thương quê nhà , nay đã ngàn trùng xa cách . Rất mong các bậc phụ huynh Nam Kỳ ráng mà giữ giọng nói cuả mình , ráng dạy dỗ con cháu cho tụi nó giữ giọng , đừng để giọng Nam kỳ bị mai một , đừng làm đau lòng Cha Ông Nam Kỳ lục tỉnh xưa , đừng gây nát ruột bầm gan Tổ Tiên miền Nam sông nước cũ❤❤😪Thương tiếc quá Nam kỳ ơi !!!",youtube:_OjaHyGU1y0,southern,lexicon,medium,6
Mỗi đêm tui lại thèm nghe giọng Sài Gòn lẫn trước và sau khi tui đi nghủ.,youtube:_OjaHyGU1y0,southern,lexicon,medium,2
"Thày Hai ơi, thày làm tui khóc sau khi nghe video clip này của thày Hai. Tui khóc như cha tui chết. Đau quá thày hai ơi!",youtube:_OjaHyGU1y0,southern,lexicon,medium,3
tui biết nói giọng mèn mén nè,youtube:_RiNfv5dmws,southern,lexicon,medium,2
Bạn kể lại . Vợ tui chuyển dạ đêm tân hôn. Nghe mắc cười hơn !,youtube:drX7Z14z3B8,southern,lexicon,medium,3
"Bạn ấy có duyên là nhờ hàm răng đó, đừng niên răng em nhe",youtube:drX7Z14z3B8,central,lexicon,medium,2
Nghe riết kênh Cô Tâm Nhà Quê tui bị đau sốc hông luôn á !,youtube:drX7Z14z3B8,southern,lexicon,medium,2
tâm nhà quê ỡ đâu vây tôi là con gái của bác năm nè út tâm có biết tôi hông tôi ũng hô út tâm nhe❤❤❤❤❤❤❤,youtube:drX7Z14z3B8,southern,lexicon,medium,2
Tui cũng đc nè :))),youtube:EAr-HClzMhU,southern,lexicon,medium,2
Tui thích giọng miền Nam vì tui ở miền nam:),youtube:EAr-HClzMhU,southern,lexicon,medium,2
Bây biết quãng ngãi tiếng khó nghe lắm Chào ❌️ trình Trình ông trình bà đi con rồi còn nữa nè @#%@!^#&@&@*#^!÷&##^^₫& cái gì tao nghe hổng hiểu 😅😅,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Tui trai miền tây mà tui mê gái giọng phú yên vãi 😗,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Phú yên nói chi rứa hè,youtube:cYGqQGqQFVc,central,lexicon,medium,2
"Phú Yên quê tui , tui hiểu được giọng bình định nha 😂",youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Tui dân Phú Yên nè,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
tui thanh hóa tui thấy giọng tui bìn thườn mà😂,youtube:cYGqQGqQFVc,southern,lexicon,medium,3
Cả họ hàng nhà tui và tui đều nói giọng quảng bình và quảng trị 😂😂😂😂😂😂,youtube:cYGqQGqQFVc,southern,lexicon,medium,2
Răng mà ít tame miền Trung rứa. Chi Vy noi quá giống,youtube:AwO0KHZOOlc,central,lexicon,medium,2
"Thách mọi người dịch đâu này : răng mà buồn rứa. mi bị răng rứa. răng mi Đi đâu, tao Đi ca tê.",youtube:AwO0KHZOOlc,central,lexicon,medium,6
"4:51 dể tui nói cho rồi mấy dịch nha "" trời ơi mi đi mô rứa răng mi đi mô mà ko nói tao trời t chuẩn bị đi #@@%& ""nhanh quá dịch ko kịp :) Ng miền trung dịch ko ra nx huống chi ng bắc , nam",youtube:AwO0KHZOOlc,central,lexicon,medium,4
"Tui taem miền Nam như tui học tiếng nghệ An hây Chào mọi người, răng hôm nay bn xinh rứa hây= sao hôm nay bn xinh vậy, Ê! Mi đang mần chi rứa? À, tau đag ăn cơm Mô? Đây Mi mần cái này cái này mà không xong thì đời mi truột luôn /\,,,,/\ (◍⁠•⁠ᴗ⁠•⁠◍) =❤=",youtube:AwO0KHZOOlc,central,lexicon,medium,6
Răng mà kì giọng miền Trung hắn két rứa hè😂,youtube:AwO0KHZOOlc,central,lexicon,medium,3
"Lòng ta mang giấc mơ trần gian Mà về phương Nam xuống ghe kéo cò Chốn thiên thai lòng ai không nỡ Vác lên vai chí trai ngoan cường Giấc mộng trời Tây Đi theo tao về đây mày cần gì chờ Trên con xe thiệt sang tay đang cầm cờ bay Trai hiên ngang vì tao đang sống ở bờ tây Dân Sóc Trăng Cần Thơ Nhắc tới Cần Thơ người ta hay nói Có bến Ninh Kiều gạo trắng nước trong Người Cần Thơ tay chèo tay chống Đưa xuồng rẻ sóng mà đi ngược dòng Bản chất Miền Tây hiền lành chất phác Nhưng mà không luồn cúi cứ sống hiên ngang Trải qua bao thăng trầm mất mát Nhưng giờ đây có khác gì chốn thiên đàng Nhấp ly rượu ngồi trên du thuyền Nghe điệu dạ cổ hoài lang Ngắm thành phố đang lên đèn Tình tình tích tịch tình tang Nếu mày thích thì cứ chi tiền Chơi kiểu mấy ông chủ Đài Loan Đợi, tối thêm chút ,thì lên sàn Có thiếu gì kiểu xài sang Dân Miền Tây à bước vào Club Là chất cứ như là Tây tay đeo vàng cây à Kiếm tiền lớn hàng tháng nó theo đường dây Dân chơi về đây à có tiền giấy thì muốn gì có liền nấy Không tin thì bây giờ book một shot hạng nhất Tô Châu liền tay Chiều Tây Đô , lượn một vòng thành phố Nhìn ngắm phố phường, đang rộn rã xô bồ Bật radio lên, mà dò tần số Nghe bài nhạc rap, ây dô ây dô Từ cầu Quang Trung đi qua đường Trần Phú Tìm trên danh sách vài quán Local Tập hợp anh em gần xa lại đông đủ Đêm nay ta không ngủ 1 2 3 Dzô Tui thích được cưỡi sóng Trên chợ nổi y như bo bo Rồi cập dô bến Ninh Kiều Ngồi ăn bún xào mà không âu lo Ở đây có bưởi nóng Hay bưởi lạnh cũng đều to to Anh thích loại bưởi nào Thì tui nhường hết cần gì so đo Xưa qua phà Hậu Giang Nay có cầu Cống bắt dòng Đồng Giang Về Cần Thơ đất chật người đông Còn giai nhân với mỹ nữ Thì lắm người mà hồng nhan Bao năm qua ta sống ở trên cõi đời này Ta không ngó đến chuyện trần gian Ta mang chân đất đi kiếm chân thành Ta mong chân lý mỗi ngày tràn dâng Vì ta đây là con của đất Rồng Trời cao ta bao lần mơ Và nếu hỏi ta đến từ phương nào Tao là dân Cần Thơ Tao đón mày đường hàng không Mấy thằng ngông trên sông hàng hải Chuyển anh em từ phía bờ đông Cập bến là mông công xếp hàng đãi Nói chứ chơi thì không bằng ai Nhưng mà vùng này ít ai bằng tao Còn tiền phải đếm bằng máy Hồng ngọc trên bàn lại tưởng đồng thau Ninh Kiều phố Đầu đêm Có mấy thanh niên mặc vest màu đen Đúng thời danh tiếng có giàu thêm Sống Bảnh đến tây phải tới chào khen Dân chơi khá là chi Mà giữ đầu lạnh để kiếm đường chen Xã hội tây kì mày thấy là nguy Còn tao xem đây lá chiến trường quen Đấy cái chất Miền Tây nhà lầu tới xe hơi Nơi rồng chín con kết nối đường dây Ngày rồi tới ban đêm Muôn màu thích chơi cái thứ gì đây Hồng trà phố bia thơm Lên đèn búng tay là có được ngay Mời mày tới khu tao là mày chết mê Tay kim cương sáng mày hiếu kì Tóc tai tém hiền khô Nhưng mà trong túi Một cọc nó thiếu gì Móm mém xì gà khô Thứ sáu xuất hiện trong beauty Night bo mấy ngàn đô Lên xông hơi rồi nhìn Bikini Ăn hủ tíu mì khô",youtube:2DEepBboNQo,southern,lexicon,medium,2
Chợ đêm Cần Thơ bây giờ vui quá trời vui gòy❤️ Cả nhà thấy video hôm nay thế nào nè? Comment cho Quan biết với nhaa Chúc cả nhà xem video vui vẻ❤,youtube:RI0n1DEB9Wo,southern,lexicon,medium,2
"Tui đang soạn giáo án. để clip của Quan tự nhảy, mà tới clip nào tui mê clip đó. thằng ku Thiện đúng dễ thương luôn, đúng là điểm nhấn cho cái clip này luôn.",youtube:RI0n1DEB9Wo,southern,lexicon,medium,2
Ê thằng thiện lớp tui nè,youtube:RI0n1DEB9Wo,southern,lexicon,medium,2
Thần tượng tui hát về quê hương tui.. good,youtube:VMkYlXLIanM,southern,lexicon,medium,2
Nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật nam mô a Di Đà Phật ❤❤❤❤❤❤ like,youtube:n2pDh1jI5J8,central,lexicon,medium,7
Tui dân bến tre nè,youtube:oTKhSnxrURE,southern,lexicon,medium,2
Trên tui cx vậy Tui cũng ơ bến tre nek,youtube:oTKhSnxrURE,southern,lexicon,medium,2
"dễ thương, tui đang luật hấp dẫn để được lên kênh Thầy quay cùng Thầy ó nhang, tui tiếng Đa Lộc nè hâhhahahhaha😂😂😂😂",youtube:oTKhSnxrURE,southern,lexicon,medium,3
tui ở bến tre còn hổng biết cái đó là cái gì,youtube:oTKhSnxrURE,southern,lexicon,medium,2
Tui miền Tây Bến tre nè,youtube:oTKhSnxrURE,southern,lexicon,medium,2
Có ai ở Bến Tre ko tui ở Bến Tre nè🎉,youtube:oTKhSnxrURE,southern,lexicon,medium,2
Cam on em nhiẻu chuc em hôn nhiên yẻu đoi cuoi tupi nhu hoa hông chuc mung 🎉❤🎉❤🎉,youtube:61Idr5J42gU,southern,lexicon,medium,2
